murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
,,,,,,,,,111762001,noncampus,2016
,,,,,,,,,111799001,noncampus,2016
0,0,0,0,0,0,0,0,0,111887001,noncampus,2016
0,0,0,0,0,0,0,0,0,111896001,noncampus,2016
0,0,0,0,0,0,0,0,0,111896002,noncampus,2016
0,0,0,0,0,0,0,0,0,111896003,noncampus,2016
0,0,0,0,0,0,0,0,0,111896004,noncampus,2016
0,0,0,0,0,0,0,0,0,111896005,noncampus,2016
0,0,0,0,0,0,0,0,0,111920001,noncampus,2016
,,,,,,,,,111920002,noncampus,2016
0,0,0,0,0,0,0,0,0,111939001,noncampus,2016
0,0,0,0,0,0,1,1,0,111948001,noncampus,2016
,,,,,,,,,111948002,noncampus,2016
,,,,,,,,,111966001,noncampus,2016
0,0,0,0,0,0,0,0,0,112075001,noncampus,2016
,,,,,,,,,112075002,noncampus,2016
,,,,,,,,,112075003,noncampus,2016
,,,,,,,,,112075004,noncampus,2016
,,,,,,,,,112084001,noncampus,2016
,,,,,,,,,112127001,noncampus,2016
0,0,0,0,0,0,0,0,0,112172001,noncampus,2016
,,,,,,,,,112181001,noncampus,2016
,,,,,,,,,112190001,noncampus,2016
,,,,,,,,,112190002,noncampus,2016
,,,,,,,,,112190003,noncampus,2016
,,,,,,,,,112190004,noncampus,2016
,,,,,,,,,112190005,noncampus,2016
,,,,,,,,,112190006,noncampus,2016
,,,,,,,,,112190007,noncampus,2016
,,,,,,,,,112190008,noncampus,2016
,,,,,,,,,112190011,noncampus,2016
,,,,,,,,,112190013,noncampus,2016
0,0,1,0,0,0,3,2,0,112251001,noncampus,2016
0,0,0,0,0,0,0,1,0,112260001,noncampus,2016
,,,,,,,,,112288001,noncampus,2016
,,,,,,,,,112367001,noncampus,2016
0,0,0,0,0,0,0,0,0,112385002,noncampus,2016
0,0,0,0,0,0,0,0,0,112385004,noncampus,2016
0,0,0,0,0,0,4,0,0,112385005,noncampus,2016
,,,,,,,,,112394001,noncampus,2016
,,,,,,,,,112446001,noncampus,2016
